Bear,Datetime_behavior_starts,Datetime_behavior_ends,Behavior,Comments
1,4/7/2014 20:20:53,4/7/2014 20:21:53,laying,resting
1,4/7/2014 20:22:53,4/7/2014 20:23:53,laying,resting
1,4/7/2014 20:24:53,4/7/2014 20:25:53,laying,resting
1,4/7/2014 20:26:53,4/7/2014 20:27:53,laying,resting
1,4/7/2014 20:28:53,4/7/2014 20:29:53,laying,resting
1,4/7/2014 20:30:53,4/7/2014 20:31:53,laying,resting
1,4/7/2014 20:32:53,4/7/2014 20:33:53,laying,resting
1,4/7/2014 20:34:53,4/7/2014 20:35:53,laying,resting
1,4/7/2014 20:36:53,4/7/2014 20:37:53,laying,resting
1,4/7/2014 20:38:53,4/7/2014 20:39:53,laying,resting
1,4/7/2014 20:40:53,4/7/2014 20:41:53,laying,some head movement
1,4/7/2014 20:42:53,4/7/2014 20:43:53,sitting or laying,head movement
1,4/7/2014 20:44:53,4/7/2014 20:45:53,sitting or laying,head shake
1,4/7/2014 20:46:53,4/7/2014 20:47:53,laying,resting
1,4/7/2014 20:48:53,4/7/2014 20:49:53,laying,head movement
1,4/7/2014 20:50:53,4/7/2014 20:51:53,laying,some grooming
1,4/7/2014 20:52:53,4/7/2014 20:53:53,laying,head movement
1,4/7/2014 20:54:53,4/7/2014 20:55:53,laying,resting
1,4/7/2014 20:56:53,4/7/2014 20:57:53,laying,resting
1,4/7/2014 20:58:53,4/7/2014 20:59:53,laying,resting
1,4/7/2014 21:00:03,4/7/2014 21:00:33,laying,resting
1,4/7/2014 21:02:03,4/7/2014 21:02:33,laying,resting
1,4/7/2014 21:04:03,4/7/2014 21:04:33,laying,resting
1,4/7/2014 21:06:03,4/7/2014 21:06:33,laying,resting
1,4/7/2014 21:08:03,4/7/2014 21:08:33,laying,resting
1,4/7/2014 21:10:03,4/7/2014 21:10:33,laying,resting
1,4/7/2014 21:12:03,4/7/2014 21:12:33,laying,resting
1,4/7/2014 21:14:03,4/7/2014 21:14:33,laying,resting
1,4/7/2014 21:16:03,4/7/2014 21:16:33,laying,resting
1,4/7/2014 21:18:03,4/7/2014 21:18:33,laying,resting
1,4/7/2014 21:20:03,4/7/2014 21:20:33,laying,resting
1,4/7/2014 21:22:03,4/7/2014 21:22:33,laying,resting
1,4/7/2014 21:24:03,4/7/2014 21:24:33,laying,resting
1,4/7/2014 21:26:03,4/7/2014 21:26:33,laying,resting
1,4/7/2014 21:28:03,4/7/2014 21:28:33,laying,resting
1,4/7/2014 21:30:03,4/7/2014 21:30:33,laying,resting
1,4/7/2014 21:32:03,4/7/2014 21:32:33,laying,resting
1,4/7/2014 21:34:03,4/7/2014 21:34:33,laying,resting
1,4/7/2014 21:36:03,4/7/2014 21:36:33,laying,resting
1,4/7/2014 21:38:03,4/7/2014 21:38:33,laying,resting
1,4/7/2014 21:40:03,4/7/2014 21:40:33,laying,resting
1,4/7/2014 21:42:03,4/7/2014 21:42:33,laying,resting
1,4/7/2014 21:44:03,4/7/2014 21:44:33,laying,resting
1,4/7/2014 21:46:03,4/7/2014 21:46:33,laying,resting
1,4/7/2014 21:48:03,4/7/2014 21:48:33,laying,resting
1,4/7/2014 21:50:03,4/7/2014 21:50:33,laying,resting
1,4/7/2014 21:52:03,4/7/2014 21:52:33,laying,resting
1,4/7/2014 21:54:03,4/7/2014 21:54:33,laying,resting
1,4/7/2014 21:56:03,4/7/2014 21:56:33,laying,resting
1,4/7/2014 21:58:03,4/7/2014 21:58:33,laying,resting
1,4/7/2014 22:00:03,4/7/2014 22:00:33,laying,resting
1,4/7/2014 22:02:03,4/7/2014 22:02:33,laying,resting
1,4/7/2014 22:04:03,4/7/2014 22:04:33,laying,resting
1,4/7/2014 22:06:03,4/7/2014 22:06:33,laying,resting
1,4/7/2014 22:08:03,4/7/2014 22:08:33,laying,resting
1,4/7/2014 22:10:03,4/7/2014 22:10:33,laying,resting
1,4/7/2014 22:12:03,4/7/2014 22:12:33,laying,resting
1,4/7/2014 22:14:03,4/7/2014 22:14:33,laying,resting
1,4/7/2014 22:16:03,4/7/2014 22:16:33,laying,resting
1,4/7/2014 22:18:03,4/7/2014 22:18:33,laying,resting
1,4/7/2014 22:20:03,4/7/2014 22:20:33,laying,resting
1,4/7/2014 22:22:03,4/7/2014 22:22:33,laying,resting
1,4/7/2014 22:24:03,4/7/2014 22:24:33,laying,resting
1,4/7/2014 22:26:03,4/7/2014 22:26:33,laying,resting
1,4/7/2014 22:28:03,4/7/2014 22:28:33,laying,resting
1,4/7/2014 22:30:03,4/7/2014 22:30:33,laying,resting
1,4/7/2014 22:32:03,4/7/2014 22:32:33,laying,resting
1,4/7/2014 22:34:03,4/7/2014 22:34:33,laying,resting
1,4/7/2014 22:36:03,4/7/2014 22:36:33,laying,resting
1,4/7/2014 22:38:03,4/7/2014 22:38:33,laying,some head movement
1,4/7/2014 22:40:03,4/7/2014 22:40:33,laying,resting
1,4/7/2014 22:42:03,4/7/2014 22:42:33,laying,resting
1,4/7/2014 22:44:03,4/7/2014 22:44:33,laying,resting
1,4/7/2014 22:46:03,4/7/2014 22:46:33,laying,resting
1,4/7/2014 22:48:03,4/7/2014 22:48:33,laying,resting
1,4/7/2014 22:50:03,4/7/2014 22:50:33,laying,resting
1,4/7/2014 22:52:03,4/7/2014 22:52:33,laying,resting
1,4/7/2014 22:54:03,4/7/2014 22:54:33,laying,resting
1,4/7/2014 22:56:03,4/7/2014 22:56:33,laying,resting
1,4/7/2014 22:58:03,4/7/2014 22:58:33,laying,resting
1,4/7/2014 23:00:03,4/7/2014 23:00:33,laying,resting
1,4/7/2014 23:02:03,4/7/2014 23:02:33,laying,resting
1,4/7/2014 23:04:03,4/7/2014 23:04:33,laying,resting
1,4/7/2014 23:06:03,4/7/2014 23:06:33,laying,resting
1,4/7/2014 23:08:03,4/7/2014 23:08:33,laying,resting
1,4/7/2014 23:10:03,4/7/2014 23:10:33,laying,resting
1,4/7/2014 23:12:03,4/7/2014 23:12:33,laying,resting
1,4/7/2014 23:14:03,4/7/2014 23:14:33,laying,resting
1,4/7/2014 23:16:03,4/7/2014 23:16:33,laying,resting
1,4/7/2014 23:18:03,4/7/2014 23:18:33,laying,resting
1,4/7/2014 23:20:03,4/7/2014 23:20:33,laying,resting
1,4/7/2014 23:22:03,4/7/2014 23:22:33,laying,resting
1,4/7/2014 23:24:03,4/7/2014 23:24:33,laying,resting
1,4/7/2014 23:26:03,4/7/2014 23:26:33,laying,resting
1,4/7/2014 23:28:03,4/7/2014 23:28:33,laying,resting
1,4/7/2014 23:30:03,4/7/2014 23:30:33,laying,resting
1,4/7/2014 23:32:03,4/7/2014 23:32:33,laying,resting
1,4/7/2014 23:34:03,4/7/2014 23:34:33,laying,resting
1,4/7/2014 23:36:03,4/7/2014 23:36:33,laying,resting
1,4/7/2014 23:38:03,4/7/2014 23:38:33,laying,resting
1,4/7/2014 23:40:03,4/7/2014 23:40:33,laying,resting
1,4/7/2014 23:42:03,4/7/2014 23:42:33,laying,resting
1,4/7/2014 23:44:03,4/7/2014 23:44:33,laying,resting
1,4/7/2014 23:46:03,4/7/2014 23:46:33,laying,resting
1,4/7/2014 23:48:03,4/7/2014 23:48:33,laying,resting
1,4/7/2014 23:50:03,4/7/2014 23:50:33,laying,resting
1,4/7/2014 23:52:03,4/7/2014 23:52:33,laying,resting
1,4/7/2014 23:54:03,4/7/2014 23:54:33,laying,resting
1,4/7/2014 23:56:03,4/7/2014 23:56:33,laying,resting
1,4/7/2014 23:58:03,4/7/2014 23:58:33,laying,resting
1,4/8/2014 0:00:03,4/8/2014 0:00:33,laying,resting
1,4/8/2014 0:02:03,4/8/2014 0:02:33,laying,resting
1,4/8/2014 0:04:03,4/8/2014 0:04:33,laying,resting
1,4/8/2014 0:06:03,4/8/2014 0:06:33,laying,resting
1,4/8/2014 0:08:03,4/8/2014 0:08:33,rolling in snow,
1,4/8/2014 0:10:03,4/8/2014 0:10:33,eating snow,
1,4/8/2014 0:12:03,4/8/2014 0:12:33,eating snow,
1,4/8/2014 0:14:03,4/8/2014 0:14:33,laying,head movement
1,4/8/2014 0:16:03,4/8/2014 0:16:33,laying,resting
1,4/8/2014 0:18:03,4/8/2014 0:18:33,laying,resting
1,4/8/2014 0:20:03,4/8/2014 0:20:33,laying,resting
1,4/8/2014 0:22:03,4/8/2014 0:22:33,laying,resting
1,4/8/2014 0:24:03,4/8/2014 0:24:33,laying,resting
1,4/8/2014 0:26:03,4/8/2014 0:26:33,laying,resting
1,4/8/2014 0:28:03,4/8/2014 0:28:33,laying,resting
1,4/8/2014 0:30:03,4/8/2014 0:30:33,laying,resting
1,4/8/2014 0:32:03,4/8/2014 0:32:33,laying,resting
1,4/8/2014 0:34:03,4/8/2014 0:34:33,laying,resting
1,4/8/2014 0:36:03,4/8/2014 0:36:33,laying,resting
1,4/8/2014 0:38:03,4/8/2014 0:38:33,laying,resting
1,4/8/2014 0:40:03,4/8/2014 0:40:33,laying,resting
1,4/8/2014 0:42:03,4/8/2014 0:42:33,laying,resting
1,4/8/2014 0:44:03,4/8/2014 0:44:33,laying,resting
1,4/8/2014 0:46:03,4/8/2014 0:46:33,laying,resting
1,4/8/2014 0:48:03,4/8/2014 0:48:33,laying,resting
1,4/8/2014 0:50:03,4/8/2014 0:50:33,laying,resting
1,4/8/2014 0:52:03,4/8/2014 0:52:33,laying,resting
1,4/8/2014 0:54:03,4/8/2014 0:54:33,laying,resting
1,4/8/2014 0:56:03,4/8/2014 0:56:33,laying,some head movement
1,4/8/2014 0:58:03,4/8/2014 0:58:33,laying,head movement
1,4/8/2014 1:00:03,4/8/2014 1:00:33,laying,resting
1,4/8/2014 1:02:03,4/8/2014 1:02:33,laying,resting
1,4/8/2014 1:04:03,4/8/2014 1:04:33,laying,resting
1,4/8/2014 1:06:03,4/8/2014 1:06:33,laying,resting
1,4/8/2014 1:08:03,4/8/2014 1:08:33,laying,resting
1,4/8/2014 1:10:03,4/8/2014 1:10:33,laying,resting
1,4/8/2014 1:12:03,4/8/2014 1:12:33,laying,resting
1,4/8/2014 1:14:03,4/8/2014 1:14:33,laying,resting
1,4/8/2014 1:16:03,4/8/2014 1:16:33,laying,resting
1,4/8/2014 1:18:03,4/8/2014 1:18:33,laying,resting
1,4/8/2014 1:20:03,4/8/2014 1:20:33,laying,resting
1,4/8/2014 1:22:03,4/8/2014 1:22:33,laying,resting
1,4/8/2014 1:24:03,4/8/2014 1:24:33,laying,resting
1,4/8/2014 1:26:03,4/8/2014 1:26:33,laying,resting
1,4/8/2014 1:28:03,4/8/2014 1:28:33,laying,resting
1,4/8/2014 1:30:03,4/8/2014 1:30:33,laying,resting
1,4/8/2014 1:32:03,4/8/2014 1:32:33,laying,resting
1,4/8/2014 1:34:03,4/8/2014 1:34:33,laying,resting
1,4/8/2014 1:36:03,4/8/2014 1:36:33,laying,resting
1,4/8/2014 1:38:03,4/8/2014 1:38:33,laying,resting
1,4/8/2014 1:40:03,4/8/2014 1:40:33,laying,resting
1,4/8/2014 1:42:03,4/8/2014 1:42:33,laying,resting
1,4/8/2014 1:44:03,4/8/2014 1:44:33,laying,resting
1,4/8/2014 1:46:03,4/8/2014 1:46:33,laying,resting
1,4/8/2014 1:48:03,4/8/2014 1:48:33,laying,resting
1,4/8/2014 1:50:03,4/8/2014 1:50:33,laying,head movement
1,4/8/2014 1:52:03,4/8/2014 1:52:33,laying,some head movement
1,4/8/2014 1:54:03,4/8/2014 1:54:33,laying,resting
1,4/8/2014 1:56:03,4/8/2014 1:56:33,laying,resting
1,4/8/2014 1:58:03,4/8/2014 1:58:33,laying,resting
1,4/8/2014 2:00:03,4/8/2014 2:00:33,laying,resting
